coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.compose.material:material-ripple:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.material:material-ripple:1.10.6	b1257bedb093cbea96cc304862c000293d8d3c89e8363108fc7d228c443fa005	material-ripple-1.10.6.module
androidx.compose.material:material-ripple-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.material:material-ripple-android:1.10.6	cfeac893797d54a061ec99b214c7aae624a8875e51176e7edd8fbfd9f87c94bf	material-ripple-android-1.10.6.module | material-ripple.aar
androidx.compose.material3:material3:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.material3:material3:1.4.0	672b431f59c8e0a8522690b2f46f1b7966710638893c60c31c5f19f8472d62cc	material3-1.4.0.module
androidx.compose.material3:material3-android:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.material3:material3-android:1.4.0	cc0362653240708a010de50fee8caf884a610fbb10b6013e86694d77c43febc7	material3-android-1.4.0.module | material3.aar
androidx.compose.runtime:runtime:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime:1.10.6	369629d91212f8932f5357f2588ca57b4e09c170f63e29dafb33d3e278e077e5	runtime-1.10.6.module
androidx.compose.runtime:runtime-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-android:1.10.6	0c59c80eeeb78727c78e6fc04ba2ef7916c20dbb11935db12030c97d8f9e9cb4	runtime-android-1.10.6.module | runtime.aar
androidx.compose.runtime:runtime-annotation:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-annotation:1.10.6	db53b88fa3c96ef89accc29878af1f2a0ad6db4c72c71eb07fafc5c945808155	runtime-annotation-1.10.6.module
androidx.compose.runtime:runtime-annotation-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-annotation-android:1.10.6	00d0ffef9f1381b51e8cc4c8337005e39803d61b69c39092c1c17b0a9beb884f	runtime-annotation-android-1.10.6.module | runtime-annotation.aar
androidx.compose.runtime:runtime-retain:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-retain:1.10.6	d3a9ce053e8fdb393c62a37a284a271be500052a60e1b833c3c017967ae777d8	runtime-retain-1.10.6.module
androidx.compose.runtime:runtime-retain-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-retain-android:1.10.6	e664d5c4b264b398706dae09c370aed251b45ec58cd6563805cb7cc5087c1c71	runtime-retain-android-1.10.6.module | runtime-retain.aar
androidx.compose.runtime:runtime-saveable:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-saveable:1.10.6	b2a09472a04cd36198d23e30cb336afa064bc816a51846f7217003a0c9e2a052	runtime-saveable-1.10.6.module
androidx.compose.runtime:runtime-saveable-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.runtime:runtime-saveable-android:1.10.6	369d43b4c7ec8c2604e1bc0cec972d7c46cc978ca4c477ccde69b3c1e6b30c77	runtime-saveable-android-1.10.6.module | runtime-saveable.aar
androidx.compose.ui:ui:1.0.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui:1.0.1	21f65ac349f79bc60d8466d0eb80cd063f1852f44caca4a1c9f37c19a9ddbd66	ui-1.0.1.module
androidx.compose.ui:ui:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui:1.10.6	54b6c198f1f8f75e6a90ec088ecd30dd91392ac28077168777e13baca11c7283	ui-1.10.6.module
androidx.compose.ui:ui-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-android:1.10.6	d63718b2d5014f0a30307a2f4cf1c0015dc9dd61c016565e2d801f14befc2ce8	ui-android-1.10.6.module | ui.aar
androidx.compose.ui:ui-geometry:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-geometry:1.10.6	a7cc4540fbb13750b9e707d1ef740d2fa1706cbfd9c3dafea32aaba84cf3b041	ui-geometry-1.10.6.module
androidx.compose.ui:ui-geometry-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-geometry-android:1.10.6	27f21f4c16438b974de4f94ea4c895e562824c8bf80b504fcc433dabf9828cfa	ui-geometry-android-1.10.6.module | ui-geometry.aar
androidx.compose.ui:ui-graphics:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-graphics:1.10.6	e96822c0d9a11209e8e762a8921f133f25b7924cbbe8244bcaa2f0d4845c7c20	ui-graphics-1.10.6.module
androidx.compose.ui:ui-graphics-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-graphics-android:1.10.6	116105ab778855a7734416f25f2875fda91216c9a15b132f1483d7e164ed7a43	ui-graphics-android-1.10.6.module | ui-graphics.aar
androidx.compose.ui:ui-test:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-test:1.10.6	63e5f9919808498db733172116f81a09a7c8417e70c2a4dfd3159e6be680a8ed	ui-test-1.10.6.module
androidx.compose.ui:ui-test-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-test-android:1.10.6	e8df602ca7da43a41e111a78ea616856dc8a9e9429966b8132c928ee878def8d	ui-test-android-1.10.6.module | ui-test.aar
androidx.compose.ui:ui-test-junit4:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-test-junit4:1.10.6	bcbf9917134086db5a138139ab23a5bef5458b7a08f836a3d010bef17ff4737d	ui-test-junit4-1.10.6.module
androidx.compose.ui:ui-test-junit4-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-test-junit4-android:1.10.6	b32ce0b4835f555267b7f767854067d1d2323668001e7d9a27cca4ea3da6d5fb	ui-test-junit4-android-1.10.6.module | ui-test-junit4.aar
androidx.compose.ui:ui-test-manifest:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-test-manifest:1.10.6	411f53271165cb53cf45a95624bc90f172d173114e1db9bf4569e2f22eff282e	ui-test-manifest-1.10.6.aar | ui-test-manifest-1.10.6.module
androidx.compose.ui:ui-text:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-text:1.10.6	374db72f955761b24f019527d19bcb499e2df465454f4ff0bd0764b320e61331	ui-text-1.10.6.module
androidx.compose.ui:ui-text-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-text-android:1.10.6	4f8473e95de2448ec468f33aa1367a69424540b283fbd09122be43877a35f4f4	ui-text-android-1.10.6.module | ui-text.aar
androidx.compose.ui:ui-unit:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-unit:1.10.6	af5dbc8140538f038b932194bf9a7750a6659db3f7d35a640ef65034d05390b3	ui-unit-1.10.6.module
androidx.compose.ui:ui-unit-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-unit-android:1.10.6	b2ba265de52d728686387fc8efab8ac64d4999f255267b2d7c404220bf8dd979	ui-unit-android-1.10.6.module | ui-unit.aar
androidx.compose.ui:ui-util:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-util:1.10.6	c6344829c2bd1673d21d28a20c8522330c8f5a8b8542d0c1ee355d189c110325	ui-util-1.10.6.module
androidx.compose.ui:ui-util-android:1.10.6	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.compose.ui:ui-util-android:1.10.6	5cc2e3ddd19d2100f2704b5a6f17054cdb46db7d8752e04e4125ed38fe0c67ed	ui-util-android-1.10.6.module | ui-util.aar
androidx.concurrent:concurrent-futures:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.concurrent:concurrent-futures:1.0.0	4505b9a5e30a9418b59a9ad6702c3e4193aea6e691a3d03cf220c7640ad083e2	concurrent-futures-1.0.0.pom
